127.0.0.1 - - [06/Jan/2025:15:41:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/main.do HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/jquery-ui-1.12.1.min.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/swiper-bundle.min.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/jquery-ui-1.12.1.theme.min.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/jquery-ui-1.12.1.min.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/swiper-bundle.min.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /lib/jquery-1.12.4.min.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /js/common.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /js/temp_peg.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/resources/assets/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/resources/assets/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/resources/assets/images/car-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/resources/assets/css/tmp_peg.css HTTP/1.1" 200 5500
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /assets/images/List.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /assets/images/Account.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Jan/2025:15:41:33 +0900] "GET /myapp/resources/assets/css/temp_peg.css HTTP/1.1" 404 1573
